Sample name	002-w000_S45	002-w046_S23	009-w046_S58	010-w000_p4_S10	012-w000_S56	013-w014_S69	018-w000_S12	029-w000_S67	029-w014_S78	029-w046_S2	035-w000_S24	039-w000_S80	041-w014_S1	042-w000_S16	044-w046_p4_S33	046-w014_S47	048-w046_S13	051-w000_p4_S44	054-w046_S35	073-w046_S34	080-w000_p4_S65	080-w046_p4_S21	083-w000_S27	083-w014_S38	092-w046_p4_S76	099-w014_S4	099-w046_S15	105-w000_S26	108-w000_S46	108-w046_S57	109-w000_S81	109-w046_S5	111-w000_S49	111-w014_S60	113-w000_S37	116-w000_S68	116-w014_S79	116-w046_S3	118-w000_S48	119-w000_S59	119-w046_S70	13-T106-T-DM-CH_S71	138-w014_S14	138-w046_S25	14-T106-T-DM-CII_S28	14-T106-T-DM-III_S17	14-T26-T-DM-CI_S6	14-T26-T-DM-II_S82	14-TM48-T-DM-CII_S50	14-TM48-T-DM-III_S39	145-w000_S36	15-T52-T-DM-CH_S41	16-T106-TTR-CII_p4_S32	16-T26-T-DM-CH_S61	16-TM48-T-DM-CH_S72	18-S0-TTR-CI_p4_S87	22-T106-T-DM-III_S83	22-T52-TTR-III_p4_S11	26-T26-T-DM-IH_S7	26-T52-TTR-CII_p4_S55	28-T26-T-DM-CII_S18	28-T26-T-DM-IIA_S29	28-T52-T-DM-CII_S40	30-S0-TTR-CH_p4_S66	31-S0-TTR-IH_p4_S43	31-T106-T-DM-CII_S9	500_p4H11_S88	500_p4H9_S86	C11-T-DM-CA_S30	C11-T-DM-SIG_S19	C13-T-DM-CA_S52	C14-T-DM-ILI_S63	C14-T-DM-SIG_S74	C15-T-DM-CA_S85	C16-T-DM-SIG_S20	C17-T-DM-CA_S31	C18-T-DM-CA_S64	C18-T-DM-ILI_S42	C18-T-DM-SIG_S53	C2-T-DM-CA_S51	C2-T-DM-SIG_S62	C20-T-DM-CA_S75	C3-TTR-CA_p4_S77	C6-TTR-CA_p4_S54	C7-T-DM-ILI_S84	C7-T-DM-SIG_S73	C9-T-DM-SIG_S8	C9-TTR-CA_p4_S22
Acaryochloris	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	1	0	5	0	0	0	0	2	0	22	0	16	0	0	9	1	0	0	0	0	0	20	0	0	3	0	0	1	3	0	7	1	1	0	184	11	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acetoanaerobium	4	30	0	0	415	25	0	0	49	4	17	6	245	46	2	9	403	4	2	1	217	0	3	0	3034	59	2	0	14	242	0	1039	0	693	2	0	86	57	0	1	44	17	3	2837	378	21	1552	254	119	125	237	27	485	64	298	2	643	17	62	14	18	88	2	27	113	26	0	0	1	8	1	2	0	227	7	37	6	365	33	3	2	1	427	109	50	15	9	3
Acetobacterium	1	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	5	0	0	0	14	2	1	0	0	7	0	11	0	50	1	0	5	0	0	0	2	0	2	11	1	3	6	0	2	2	0	0	33	0	5	0	25	1	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	3	3	0	0	0	1	0	2	0	0	0	0
Acetohalobium	44	32	59	0	23	0	0	1	10	8	1	20	295	3	0	1	17	3	20	0	10738	4	9	0	391	37	1	0	0	766	0	453	0	435	0	0	22	3	0	322	13	4	80	3764	1029	4604	31	26	1	107	23	2	125	3	4	0	335	4	3	6	3	0	1	0	66	20	0	1	0	13	7	2	1	47	53	117	31	54	59	4	2	0	191	40	13	5	10	5
Acetomicrobium	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	13	4	0	0	0	6	0	8	0	131	0	0	1	0	0	0	4	0	1	8	1	16	1	0	0	6	0	0	16	0	6	0	2	0	1	0	0	0	0	1	7	0	0	0	0	0	8	0	0	0	0	1	0	4	0	0	0	0	0	4	0	0	1	0
Acholeplasma	2	0	0	0	2	0	0	0	0	0	9	1	10	0	0	0	2	2	0	0	8	0	0	0	20	4	0	0	0	1	0	14	1	296	0	0	5	1	0	2	2	6	1	9	0	1	12	0	0	0	1	7	19	11	143	0	4	18	4	1	14	45	2	0	45	15	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	8	10	2
Acidaminococcus	15	6	0	13	2	85	0	0	2	0	2	3	231	1	1	9	753	140	2	1	16	0	24	1	23	396	1	0	3	1661	0	80	0	81	16	0	44426	282	1	3	7	49	0	23	1	5	14	1	1	6	3920	4	2119	25	485	2	14386	263	140	1	0	1	3	8164	8	2	1	0	0	0	2	52	68	617	1	53	0	252	104	290	3	0	5	16	26	6	15	2
Acidimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	0	11	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Acidithiobacillus	4	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	3	0	13	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	2	0	0	0	3	1	0	1	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Acidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Acidothermus	0	34	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	3	0	1	0	3	0	13	0	0	1	0	0	0	1	0	0	3	0	1	1	0	1	3	0	0	2	0	1	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	1	0
Acidovorax	2	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	91	0	0	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1
