Sample name	002-w000_S45	002-w046_S23	009-w046_S58	010-w000_p4_S10	012-w000_S56	013-w014_S69	018-w000_S12	029-w000_S67	029-w014_S78	029-w046_S2	035-w000_S24	039-w000_S80	041-w014_S1	042-w000_S16	044-w046_p4_S33	046-w014_S47	048-w046_S13	051-w000_p4_S44	054-w046_S35	073-w046_S34	080-w000_p4_S65	080-w046_p4_S21	083-w000_S27	083-w014_S38	092-w046_p4_S76	099-w014_S4	099-w046_S15	105-w000_S26	108-w000_S46	108-w046_S57	109-w000_S81	109-w046_S5	111-w000_S49	111-w014_S60	113-w000_S37	116-w000_S68	116-w014_S79	116-w046_S3	118-w000_S48	119-w000_S59	119-w046_S70	13-T106-T-DM-CH_S71	138-w014_S14	138-w046_S25	14-T106-T-DM-CII_S28	14-T106-T-DM-III_S17	14-T26-T-DM-CI_S6	14-T26-T-DM-II_S82	14-TM48-T-DM-CII_S50	14-TM48-T-DM-III_S39	145-w000_S36	15-T52-T-DM-CH_S41	16-T106-TTR-CII_p4_S32	16-T26-T-DM-CH_S61	16-TM48-T-DM-CH_S72	18-S0-TTR-CI_p4_S87	22-T106-T-DM-III_S83	22-T52-TTR-III_p4_S11	26-T26-T-DM-IH_S7	26-T52-TTR-CII_p4_S55	28-T26-T-DM-CII_S18	28-T26-T-DM-IIA_S29	28-T52-T-DM-CII_S40	30-S0-TTR-CH_p4_S66	31-S0-TTR-IH_p4_S43	31-T106-T-DM-CII_S9	500_p4H11_S88	500_p4H9_S86	C11-T-DM-CA_S30	C11-T-DM-SIG_S19	C13-T-DM-CA_S52	C14-T-DM-ILI_S63	C14-T-DM-SIG_S74	C15-T-DM-CA_S85	C16-T-DM-SIG_S20	C17-T-DM-CA_S31	C18-T-DM-CA_S64	C18-T-DM-ILI_S42	C18-T-DM-SIG_S53	C2-T-DM-CA_S51	C2-T-DM-SIG_S62	C20-T-DM-CA_S75	C3-TTR-CA_p4_S77	C6-TTR-CA_p4_S54	C7-T-DM-ILI_S84	C7-T-DM-SIG_S73	C9-T-DM-SIG_S8	C9-TTR-CA_p4_S22
Acidobacteria	3	0	0	0	1	1	0	0	0	0	7	0	5	4	0	5	2	0	0	0	13	0	1	0	11	2	0	0	0	2	0	4	0	80	0	0	5	1	0	1	1	2	4	98	1	1	1	0	0	1	1	6	21	1	12	0	141	23	5	0	1	5	0	1	5	0	0	0	0	0	0	1	0	2	0	0	0	5	1	0	1	1	0	60	0	3	1	0
Actinobacteria	858	1598	101	6	2380	195	217	31	931	256	1584	144	6674	1029	122	1218	1359	708	156	379	11675	216	146	421	12258	1682	895	326	19	5810	298	18964	147	41589	324	55	5814	688	27	1167	6198	344	410	6395	1484	1915	3817	776	398	3447	326	1970	19168	169	9609	140	20906	4429	4227	424	39	325	183	15973	2498	50	7	3	650	185	865	2741	1362	2694	889	647	352	2633	762	30	449	115	873	1163	284	56	663	392
Aquificae	866	28	1	0	58	21	0	1	4	8	28	4	5	3	1	2	45	8	17	0	99	1	17	8	820	84	2	8	1	211	0	477	0	5734	10	0	6	0	0	3	173	10	45	352	132	292	165	30	14	271	3	22	918	1	496	0	161	2	31	17	0	1	1	0	257	10	0	0	0	2	17	20	9	76	1	41	3	73	9	0	1	1	16	106	33	10	43	12
Armatimonadetes	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	1	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0
Bacteroidetes	47432	5762	61	9	9413	992	409	8	2236	939	4786	303	7987	385	709	2987	38637	1045	771	225	46929	714	832	652	42305	3840	57	469	358	36073	15	37271	775	260444	312	816	128962	4414	7	196	14263	4282	3995	13002	5834	52725	18247	2673	1734	11509	10277	8011	119077	4010	46678	113	108006	23852	20981	4280	54	115	279	1702	13087	2380	97	4	312	223	152	4322	1154	25106	419	5243	3433	8609	1840	746	734	131	1579	9538	3920	1539	2076	1009
Caldiserica	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Candidatus Cloacimonetes	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Chlamydiae	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobi	5	0	0	0	0	1	0	0	2	0	0	0	11	0	0	0	0	0	1	0	236	0	0	0	7	2	0	0	0	51	0	16	0	21	0	0	1	0	0	21	2	0	1	99	23	114	0	0	0	4	3	0	5	0	2	0	17	0	0	1	0	0	0	8	1	0	0	0	0	0	0	0	0	0	2	7	0	0	2	0	0	0	7	1	1	0	0	0
Chloroflexi	22	3	1	0	13	2	0	0	0	0	0	0	34	0	0	11	4	2	0	39	37	1	0	0	108	2	2	0	0	17	0	52	0	211	0	0	4	0	0	159	6	1	4	49	6	25	10	2	5	28	4	1	84	2	17	0	17	4	8	1	1	0	0	11	5	1	0	0	0	0	2	1	1	8	7	0	1	5	1	0	0	0	4	6	4	0	19	5
Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria	9	15	0	0	15	1	0	0	0	0	6	1	5	0	0	1	7	5	248	298	19	1	1	1	395	1	1	29	0	28	0	75	0	92	0	0	41	181	0	0	3	7	1	99	40	73	11	1	4	53	25	10	42	3	63	1	420	19	9	0	1	16	0	162	12	2	0	0	0	0	0	2	0	4	1	17	5	9	2	3	0	0	0	0	0	7	10	0
Deferribacteres	24	3	0	0	3	1	0	0	0	0	0	1	0	0	0	2	2	1	0	0	4	0	1	0	18	4	0	0	0	5	0	37	0	97	0	0	18	0	0	1	2	2	0	14	2	1	4	42	2	4	1	0	37	0	23	0	139	3	1	1	0	0	0	2	7	0	0	0	1	1	0	3	0	4	0	0	0	0	1	0	1	0	3	2	0	1	4	0
Deinococcus-Thermus	3	1	0	0	0	0	0	0	0	0	0	5	2	0	0	1	0	0	0	1	2	0	14	0	18	0	1	0	0	3	0	14	0	48	0	0	3	1	0	0	2	0	0	11	5	26	9	2	2	5	5	18	17	1	4	0	10	2	3	0	0	0	0	19	4	191	0	0	0	0	0	0	731	5	1	0	0	1	0	0	0	0	0	0	0	0	1	0
Dictyoglomi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
