Sample name	002-w000_S45	002-w046_S23	009-w046_S58	010-w000_p4_S10	012-w000_S56	013-w014_S69	018-w000_S12	029-w000_S67	029-w014_S78	029-w046_S2	035-w000_S24	039-w000_S80	041-w014_S1	042-w000_S16	044-w046_p4_S33	046-w014_S47	048-w046_S13	051-w000_p4_S44	054-w046_S35	073-w046_S34	080-w000_p4_S65	080-w046_p4_S21	083-w000_S27	083-w014_S38	092-w046_p4_S76	099-w014_S4	099-w046_S15	105-w000_S26	108-w000_S46	108-w046_S57	109-w000_S81	109-w046_S5	111-w000_S49	111-w014_S60	113-w000_S37	116-w000_S68	116-w014_S79	116-w046_S3	118-w000_S48	119-w000_S59	119-w046_S70	13-T106-T-DM-CH_S71	138-w014_S14	138-w046_S25	14-T106-T-DM-CII_S28	14-T106-T-DM-III_S17	14-T26-T-DM-CI_S6	14-T26-T-DM-II_S82	14-TM48-T-DM-CII_S50	14-TM48-T-DM-III_S39	145-w000_S36	15-T52-T-DM-CH_S41	16-T106-TTR-CII_p4_S32	16-T26-T-DM-CH_S61	16-TM48-T-DM-CH_S72	18-S0-TTR-CI_p4_S87	22-T106-T-DM-III_S83	22-T52-TTR-III_p4_S11	26-T26-T-DM-IH_S7	26-T52-TTR-CII_p4_S55	28-T26-T-DM-CII_S18	28-T26-T-DM-IIA_S29	28-T52-T-DM-CII_S40	30-S0-TTR-CH_p4_S66	31-S0-TTR-IH_p4_S43	31-T106-T-DM-CII_S9	500_p4H11_S88	500_p4H9_S86	C11-T-DM-CA_S30	C11-T-DM-SIG_S19	C13-T-DM-CA_S52	C14-T-DM-ILI_S63	C14-T-DM-SIG_S74	C15-T-DM-CA_S85	C16-T-DM-SIG_S20	C17-T-DM-CA_S31	C18-T-DM-CA_S64	C18-T-DM-ILI_S42	C18-T-DM-SIG_S53	C2-T-DM-CA_S51	C2-T-DM-SIG_S62	C20-T-DM-CA_S75	C3-TTR-CA_p4_S77	C6-TTR-CA_p4_S54	C7-T-DM-ILI_S84	C7-T-DM-SIG_S73	C9-T-DM-SIG_S8	C9-TTR-CA_p4_S22
[Bacillus] selenitireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] cellulolyticum	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	2	0	5	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
[Clostridium] clariflavum	0	2	0	0	4	2	0	0	0	0	2	1	2	0	0	5	4	0	0	0	22	0	0	1	35	2	1	0	0	17	0	49	1	79	0	0	2	1	0	0	1	3	1	56	8	7	8	1	90	962	4	2	28	5	27	0	64	3	13	0	0	3	0	3	3	1	0	0	0	0	0	4	0	5	0	3	1	5	2	2	0	1	1	5	1	1	0	1
[Clostridium] saccharolyticum	1032	6717	111	98	20227	2055	2	6	1952	1629	7748	2270	11932	347	925	20527	6363	2164	877	256	21274	265	1199	598	95432	9856	46	452	383	18984	6	34073	21	212250	235	1556	30201	2997	16	1276	14517	3404	8017	108176	6560	9092	29337	9000	3131	14064	14508	12990	70233	3080	38018	115	211334	26409	31127	5403	3178	16056	225	142	8021	1237	3	0	518	868	1442	5173	1976	32127	556	11198	6188	16914	5104	2071	3019	609	2645	19478	3659	1826	6866	2416
[Clostridium] stercorarium	26	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	1	29	1	0	0	0	11	0	17	0	339	0	0	3	0	0	0	15	1	1	103	6	5	4	1	1	12	1	0	43	0	22	0	27	3	5	0	0	0	0	1	17	0	6	0	0	0	1	0	1	4	0	0	0	6	0	0	0	0	3	2	0	0	0	0
[Enterobacter] aerogenes	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	4	0	3	0	0	1	0	2	0	4	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1101	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
[Eubacterium] eligens	11	6	0	0	356	107	0	0	1	1	4	10	11	0	10	6	10	26	0	3	254	1	1	0	21669	32	1	3	1	1540	1	81	0	10952	0	0	17	5	0	123	1020	4	5	478	261	195	269	90	5	38	92	5	5173	70	4775	4	260	7	228	65	114	518	0	5	8	1	1	0	0	2	220	10	45	262	1	25	44	48	9	1	5	3	4	18	6	91	95	109
[Eubacterium] rectale	26	628	70	1	919	6	0	1	12	196	7	113	446	3	31	95	640	279	0	4	13196	63	2	130	11553	194	9	7	26	6282	1	8244	3	5860	11	1	76	22	11	1133	582	17	1735	8706	1659	2730	2467	199	139	1642	480	18	15751	122	2016	3	3906	878	11345	127	379	2167	2	22	196	26	1	1	1	2	304	300	51	897	8	5579	32	1889	496	68	3	44	287	3951	550	195	1088	922
[Haemophilus] ducreyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Haemophilus] parasuis	0	29	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1472	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	27	1	0	0	1	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0
